sku_produto,categoria,linha,custo_producao,preco_venda
SKU001,Chocolate,Fancy,36.19,101.34
SKU002,Vinho,Padrão,13.96,19.13
SKU003,Café,Padrão,28.73,37.16
SKU004,Vinho,Padrão,15.7,20.26
SKU005,Café,Padrão,8.25,10.54
SKU006,Queijo,Padrão,24.85,33.3
SKU007,Chocolate,Padrão,10.68,13.22
SKU008,Queijo,Fancy,19.92,44.93
SKU009,Queijo,Padrão,11.4,14.19
SKU010,Chocolate,Fancy,22.36,48.84
SKU011,Queijo,Fancy,29.61,95.33
SKU012,Café,Padrão,21.24,29.1
SKU013,Café,Padrão,13.05,16.27
SKU014,Chocolate,Padrão,19.99,27.88
SKU015,Queijo,Fancy,27.02,70.79
SKU016,Vinho,Fancy,44.92,112.37
SKU017,Café,Fancy,49.65,128.55
SKU018,Café,Padrão,5.9,7.71
SKU019,Queijo,Padrão,6.62,8.72
SKU020,Vinho,Padrão,13.27,18.56
SKU021,Queijo,Fancy,34.11,92.27
SKU022,Vinho,Padrão,24.91,33.34
SKU023,Vinho,Padrão,18.37,23.98
SKU024,Café,Padrão,22.37,29.42
SKU025,Chocolate,Padrão,7.36,9.23
SKU026,Vinho,Padrão,17.76,22.58
SKU027,Queijo,Padrão,16.11,20.55
SKU028,Café,Fancy,21.85,62.6
SKU029,Café,Fancy,19.0,46.93
SKU030,Chocolate,Padrão,21.01,27.55
SKU031,Queijo,Padrão,14.02,17.8
SKU032,Chocolate,Padrão,29.64,36.07
SKU033,Vinho,Padrão,25.99,33.35
SKU034,Café,Padrão,28.01,34.38
SKU035,Vinho,Padrão,25.3,32.16
SKU036,Queijo,Padrão,8.56,10.97
SKU037,Vinho,Fancy,22.55,50.24
SKU038,Queijo,Fancy,41.12,86.83
SKU039,Queijo,Fancy,37.03,128.84
SKU040,Chocolate,Padrão,12.65,17.56
SKU041,Café,Fancy,28.04,86.55
SKU042,Café,Padrão,22.14,29.93
SKU043,Chocolate,Padrão,12.3,17.05
SKU044,Café,Fancy,33.82,116.07
SKU045,Queijo,Fancy,23.07,70.64
SKU046,Café,Fancy,28.93,92.47
SKU047,Vinho,Padrão,20.1,24.7
SKU048,Chocolate,Fancy,32.15,97.58
SKU049,Café,Fancy,31.37,77.62
SKU050,Chocolate,Padrão,13.55,18.75
