id_cliente,idade,renda_mensal,estado,canal_aquisicao
CLI00001,56,13074.95,BA,Google
CLI00002,69,4409.19,PE,Orgânico
CLI00003,46,6774.69,SP,Orgânico
CLI00004,32,8543.39,RS,Instagram
CLI00005,60,7743.32,BA,Orgânico
CLI00006,25,3769.16,MG,Instagram
CLI00007,38,8602.26,BA,Google
CLI00008,56,4753.85,BA,Google
CLI00009,36,4619.32,SC,Google
CLI00010,40,2407.6,BA,Orgânico
CLI00011,28,7142.57,PR,Orgânico
CLI00012,28,2757.09,SC,Instagram
CLI00013,41,4499.48,RJ,Google
CLI00014,53,9459.5,BA,Orgânico
CLI00015,57,8575.3,SC,Google
CLI00016,41,4696.59,SC,Google
CLI00017,20,3536.73,BA,Instagram
CLI00018,39,4254.81,SC,Orgânico
CLI00019,19,2686.5,BA,TikTok
CLI00020,41,6532.43,PE,Orgânico
CLI00021,61,12249.75,PE,Google
CLI00022,47,8910.18,SC,Orgânico
CLI00023,55,8459.1,PR,Instagram
CLI00024,19,3742.6,SP,Orgânico
CLI00025,38,7020.13,PR,Google
CLI00026,50,6804.25,RS,TikTok
CLI00027,29,8580.85,MG,Orgânico
CLI00028,39,4349.57,RJ,Orgânico
CLI00029,61,10365.09,SP,Orgânico
CLI00030,42,2210.33,BA,TikTok
CLI00031,66,7329.73,RS,Orgânico
CLI00032,44,5700.83,BA,Orgânico
CLI00033,59,8807.95,PE,Orgânico
CLI00034,45,5862.71,BA,Orgânico
CLI00035,33,7992.78,RS,Instagram
CLI00036,32,9715.18,RJ,TikTok
CLI00037,64,6648.74,RJ,Orgânico
CLI00038,68,8461.05,SP,Google
CLI00039,61,6965.15,RS,Instagram
CLI00040,69,2519.27,RS,TikTok
CLI00041,20,3469.91,SP,TikTok
CLI00042,54,4254.84,PE,Google
CLI00043,68,7797.46,RS,TikTok
CLI00044,24,2599.01,MG,Instagram
CLI00045,38,7055.14,PE,Google
CLI00046,26,7208.05,PR,Instagram
CLI00047,56,7840.21,BA,Google
CLI00048,35,6177.65,BA,Google
CLI00049,21,3877.24,SP,Instagram
CLI00050,42,3329.97,RS,Orgânico
CLI00051,31,5829.16,MG,TikTok
CLI00052,67,8412.63,SC,Google
CLI00053,26,8208.35,SP,Instagram
CLI00054,43,4973.21,PR,Orgânico
CLI00055,19,3002.52,SC,TikTok
CLI00056,37,5995.78,SC,Google
CLI00057,45,11109.3,SC,Google
CLI00058,64,8746.31,PE,Google
CLI00059,24,3469.81,BA,Instagram
CLI00060,61,9705.9,SC,Google
CLI00061,25,4503.23,RJ,Instagram
CLI00062,64,9301.92,PR,Orgânico
CLI00063,52,8765.71,MG,Orgânico
CLI00064,31,9430.24,SP,Instagram
CLI00065,34,6164.41,PE,Instagram
CLI00066,53,7244.83,MG,Orgânico
CLI00067,67,13289.52,BA,Google
CLI00068,57,9432.58,RJ,Google
CLI00069,21,3192.16,SC,Google
CLI00070,19,4002.51,RS,Google
CLI00071,23,3631.94,PE,TikTok
CLI00072,59,5791.44,SP,Google
CLI00073,21,3261.48,PR,TikTok
CLI00074,46,3774.65,PE,Google
CLI00075,35,5886.99,SP,TikTok
CLI00076,43,4996.48,BA,Google
CLI00077,61,4457.4,PE,Google
CLI00078,51,12155.71,PE,Google
CLI00079,27,7257.88,SP,Instagram
CLI00080,53,6910.21,MG,Orgânico
CLI00081,31,6574.54,RS,Google
CLI00082,48,7570.62,SC,Orgânico
CLI00083,65,2788.02,PR,Google
CLI00084,32,5599.11,SP,Instagram
CLI00085,25,6035.95,RJ,TikTok
CLI00086,31,11396.08,RJ,TikTok
CLI00087,40,6623.27,PE,Orgânico
CLI00088,57,10094.37,BA,TikTok
CLI00089,38,6876.05,RS,Orgânico
CLI00090,33,5474.37,SC,Orgânico
CLI00091,62,13112.39,BA,Instagram
CLI00092,35,5417.67,RS,Instagram
CLI00093,64,6937.64,SP,Google
CLI00094,41,5331.59,SC,Orgânico
CLI00095,43,4080.05,PE,Instagram
CLI00096,42,6730.79,PE,Orgânico
CLI00097,62,7080.22,SP,Instagram
CLI00098,58,9991.73,PR,Orgânico
CLI00099,46,9757.95,PE,Instagram
CLI00100,32,5361.98,RJ,Instagram
CLI00101,62,13131.98,BA,Orgânico
CLI00102,18,2882.24,RS,Google
CLI00103,42,2692.08,MG,Orgânico
CLI00104,24,4308.64,RS,Instagram
CLI00105,26,8286.61,SC,TikTok
CLI00106,41,8072.77,PR,Instagram
CLI00107,18,3154.08,RJ,Instagram
CLI00108,61,14230.39,BA,Google
CLI00109,25,8702.18,PR,Instagram
CLI00110,41,7826.78,PE,Orgânico
CLI00111,28,6424.6,RS,Instagram
CLI00112,68,5054.93,PE,Orgânico
CLI00113,34,5392.15,BA,TikTok
CLI00114,25,4180.7,RS,Instagram
CLI00115,52,7137.55,MG,Orgânico
CLI00116,52,10903.34,SP,Google
CLI00117,50,9871.08,SP,Orgânico
CLI00118,22,2321.55,PR,Orgânico
CLI00119,59,8512.62,PR,Orgânico
CLI00120,56,8036.77,BA,Orgânico
CLI00121,58,6706.53,SC,Google
CLI00122,45,7992.42,BA,TikTok
CLI00123,24,3586.26,PR,TikTok
CLI00124,26,4307.31,BA,Instagram
CLI00125,25,8473.24,PE,Google
CLI00126,29,5074.71,SP,TikTok
CLI00127,51,6188.32,RS,Google
CLI00128,50,5797.04,BA,Instagram
CLI00129,65,6304.61,PR,Google
CLI00130,40,9109.93,RJ,Google
CLI00131,41,7849.65,RJ,Instagram
CLI00132,54,4769.23,SP,Orgânico
CLI00133,52,9312.49,PR,Orgânico
CLI00134,61,6828.25,BA,Google
CLI00135,57,5952.85,RS,Google
CLI00136,39,5602.8,PR,Orgânico
CLI00137,44,4020.17,PR,Google
CLI00138,52,3908.41,RJ,Orgânico
CLI00139,18,2953.67,SP,Instagram
CLI00140,52,5161.07,PE,Google
CLI00141,54,10327.53,SC,Orgânico
CLI00142,64,6996.94,RS,Google
CLI00143,31,7000.48,RJ,TikTok
CLI00144,20,2012.39,SP,TikTok
CLI00145,18,2174.43,SP,TikTok
CLI00146,22,2647.79,SC,Instagram
CLI00147,43,5570.99,MG,Google
CLI00148,31,7102.25,SC,Instagram
CLI00149,56,3275.81,SC,Orgânico
CLI00150,44,2672.62,SP,Google
CLI00151,26,7114.06,MG,TikTok
CLI00152,32,9488.02,PE,TikTok
CLI00153,32,4007.91,MG,Instagram
CLI00154,43,8444.39,PR,Google
CLI00155,59,2841.06,SC,Google
CLI00156,30,3328.62,SC,Instagram
CLI00157,68,10664.16,MG,Orgânico
CLI00158,49,6328.79,MG,Orgânico
CLI00159,56,9201.46,RS,Google
CLI00160,66,6190.82,BA,Orgânico
CLI00161,69,9916.6,MG,Google
CLI00162,49,6944.75,SP,TikTok
CLI00163,21,3662.45,SP,Instagram
CLI00164,47,7193.14,SP,Google
CLI00165,54,13502.0,BA,Google
CLI00166,40,6403.77,RS,Orgânico
CLI00167,56,9459.6,SC,Google
CLI00168,62,7588.82,RS,Orgânico
CLI00169,32,5757.38,RS,Instagram
CLI00170,60,8950.56,MG,Orgânico
CLI00171,46,7880.34,BA,Orgânico
CLI00172,53,9322.83,SP,Google
CLI00173,30,5597.82,PR,Instagram
CLI00174,49,7052.08,MG,Google
CLI00175,24,3567.48,RS,Orgânico
CLI00176,68,6619.82,BA,Orgânico
CLI00177,39,9824.36,MG,Orgânico
CLI00178,45,7905.61,RS,Orgânico
CLI00179,19,2755.85,BA,Instagram
CLI00180,59,7150.95,MG,Google
CLI00181,62,4821.21,SP,Instagram
CLI00182,23,1927.15,RJ,Instagram
CLI00183,45,4932.63,PR,Orgânico
