id_pedido,id_cliente,sku_produto,data_compra,quantidade
PED000001,CLI03313,SKU037,2025-04-03,2
PED000002,CLI05196,SKU046,2025-07-16,2
PED000003,CLI07273,SKU043,2025-03-06,3
PED000004,CLI08699,SKU016,2025-10-26,2
PED000005,CLI03599,SKU002,2025-11-23,5
PED000006,CLI07514,SKU032,2025-09-11,4
PED000007,CLI09719,SKU033,2025-02-16,2
PED000008,CLI09875,SKU013,2025-02-09,5
PED000009,CLI05234,SKU017,2025-04-14,1
PED000010,CLI00035,SKU007,2025-02-17,5
PED000011,CLI09580,SKU011,2025-12-30,1
PED000012,CLI02486,SKU028,2025-07-17,1
PED000013,CLI07626,SKU021,2025-06-10,2
PED000014,CLI07351,SKU003,2025-04-05,5
PED000015,CLI06052,SKU028,2025-03-31,2
PED000016,CLI00594,SKU001,2025-05-16,2
PED000017,CLI00194,SKU024,2025-11-27,2
PED000018,CLI08788,SKU019,2025-04-08,5
PED000019,CLI01786,SKU037,2025-07-09,1
PED000020,CLI09950,SKU002,2025-07-01,2
PED000021,CLI09932,SKU022,2025-03-11,5
PED000022,CLI00896,SKU026,2025-04-12,4
PED000023,CLI01539,SKU004,2025-08-08,2
PED000024,CLI09478,SKU002,2026-01-01,4
PED000025,CLI09456,SKU045,2025-06-19,1
PED000026,CLI05807,SKU008,2025-07-27,2
PED000027,CLI01820,SKU017,2025-11-13,1
PED000028,CLI05395,SKU029,2025-01-04,1
PED000029,CLI01059,SKU044,2025-04-07,1
PED000030,CLI01554,SKU009,2025-07-01,3
PED000031,CLI06887,SKU018,2025-03-07,2
PED000032,CLI05169,SKU048,2025-05-22,2
PED000033,CLI02836,SKU028,2025-11-27,1
PED000034,CLI07383,SKU013,2025-05-02,4
PED000035,CLI02366,SKU043,2025-02-11,2
PED000036,CLI05232,SKU032,2025-05-25,4
PED000037,CLI03077,SKU046,2025-10-31,1
PED000038,CLI09977,SKU027,2025-06-19,3
PED000039,CLI01799,SKU001,2025-01-26,1
PED000040,CLI01222,SKU002,2025-02-21,5
PED000041,CLI01254,SKU001,2025-10-31,1
PED000042,CLI00403,SKU036,2025-12-07,2
PED000043,CLI08152,SKU037,2025-02-02,1
PED000044,CLI09522,SKU028,2025-02-08,1
PED000045,CLI00744,SKU046,2025-08-30,1
PED000046,CLI04214,SKU015,2025-10-12,1
PED000047,CLI00785,SKU031,2025-03-24,4
PED000048,CLI07339,SKU002,2025-02-21,4
PED000049,CLI03679,SKU042,2025-12-22,4
PED000050,CLI06237,SKU033,2025-03-03,5
PED000051,CLI09441,SKU046,2025-04-05,1
PED000052,CLI00634,SKU050,2025-01-13,2
PED000053,CLI04484,SKU048,2025-12-16,2
PED000054,CLI04029,SKU029,2025-04-30,1
PED000055,CLI02121,SKU028,2025-08-15,2
PED000056,CLI07675,SKU037,2025-12-19,1
PED000057,CLI00613,SKU021,2025-06-19,2
PED000058,CLI09262,SKU027,2025-01-21,3
PED000059,CLI02308,SKU036,2025-06-05,2
PED000060,CLI02059,SKU034,2025-05-22,5
PED000061,CLI06815,SKU023,2025-06-02,3
PED000062,CLI06521,SKU006,2025-04-20,5
PED000063,CLI08386,SKU020,2025-02-27,4
PED000064,CLI00111,SKU016,2025-09-25,2
PED000065,CLI08513,SKU028,2025-01-15,2
PED000066,CLI09778,SKU046,2025-07-21,2
PED000067,CLI07003,SKU047,2025-07-10,2
PED000068,CLI00455,SKU021,2025-10-01,2
PED000069,CLI04701,SKU035,2025-11-10,4
PED000070,CLI03960,SKU019,2025-02-09,5
PED000071,CLI02607,SKU050,2025-03-23,5
PED000072,CLI02919,SKU030,2025-11-23,3
PED000073,CLI09625,SKU041,2025-10-24,1
PED000074,CLI07458,SKU003,2025-06-24,4
PED000075,CLI07588,SKU016,2025-03-26,1
PED000076,CLI08192,SKU030,2025-03-06,5
PED000077,CLI01469,SKU042,2025-06-29,5
PED000078,CLI04534,SKU009,2025-12-20,4
PED000079,CLI06480,SKU030,2025-03-06,5
PED000080,CLI02948,SKU008,2025-12-06,2
PED000081,CLI02117,SKU044,2025-07-19,2
PED000082,CLI02978,SKU003,2025-12-25,3
PED000083,CLI09941,SKU030,2025-04-16,5
PED000084,CLI07448,SKU040,2025-03-04,2
PED000085,CLI07054,SKU003,2025-09-07,2
PED000086,CLI01310,SKU026,2025-06-03,4
PED000087,CLI03508,SKU050,2025-11-08,4
PED000088,CLI05493,SKU014,2025-06-18,2
PED000089,CLI00298,SKU040,2025-11-21,5
PED000090,CLI06682,SKU014,2025-06-06,2
PED000091,CLI08604,SKU020,2025-08-01,3
PED000092,CLI08078,SKU019,2025-12-21,3
PED000093,CLI07998,SKU017,2025-10-17,1
PED000094,CLI06097,SKU016,2025-08-28,1
PED000095,CLI02008,SKU024,2025-04-26,3
PED000096,CLI02001,SKU027,2025-05-21,3
PED000097,CLI03640,SKU021,2025-05-14,2
PED000098,CLI09223,SKU050,2025-09-17,3
PED000099,CLI00323,SKU010,2025-05-22,1
PED000100,CLI01754,SKU042,2025-12-27,4
PED000101,CLI01317,SKU003,2025-12-16,3
PED000102,CLI07231,SKU028,2025-05-20,1
PED000103,CLI01550,SKU043,2025-06-23,3
PED000104,CLI03719,SKU019,2025-07-08,3
PED000105,CLI01540,SKU035,2025-08-22,5
PED000106,CLI01520,SKU043,2025-08-06,3
PED000107,CLI00622,SKU027,2025-02-18,4
PED000108,CLI02948,SKU039,2025-01-29,2
PED000109,CLI05549,SKU012,2025-09-20,2
PED000110,CLI05891,SKU016,2025-10-12,1
PED000111,CLI06025,SKU016,2025-12-09,2
PED000112,CLI09239,SKU022,2025-05-20,3
PED000113,CLI03541,SKU003,2025-10-07,5
PED000114,CLI03213,SKU043,2025-10-10,4
PED000115,CLI07068,SKU015,2025-12-05,1
PED000116,CLI04301,SKU008,2025-06-30,2
PED000117,CLI09081,SKU035,2025-11-16,5
PED000118,CLI01540,SKU025,2025-09-06,5
PED000119,CLI04925,SKU007,2025-12-27,2
PED000120,CLI09525,SKU048,2025-06-30,2
PED000121,CLI01754,SKU043,2025-08-20,2
PED000122,CLI03138,SKU043,2025-12-02,2
PED000123,CLI00222,SKU044,2025-12-09,2
PED000124,CLI07617,SKU042,2025-01-08,2
PED000125,CLI02226,SKU031,2025-01-19,5
PED000126,CLI05498,SKU026,2025-01-10,4
PED000127,CLI07593,SKU036,2025-04-06,2
PED000128,CLI01610,SKU016,2025-04-06,1
PED000129,CLI03385,SKU016,2025-12-04,2
PED000130,CLI02970,SKU014,2025-10-18,2
PED000131,CLI00164,SKU011,2025-05-05,1
PED000132,CLI04656,SKU021,2025-11-10,2
PED000133,CLI08792,SKU022,2025-06-14,5
PED000134,CLI07130,SKU006,2025-02-24,4
PED000135,CLI05898,SKU003,2025-03-03,3
PED000136,CLI05450,SKU019,2025-03-07,3
PED000137,CLI06804,SKU036,2025-04-30,4
PED000138,CLI05569,SKU004,2025-08-29,5
PED000139,CLI00518,SKU035,2025-07-15,2
PED000140,CLI04750,SKU006,2025-02-06,2
PED000141,CLI05917,SKU039,2025-03-11,2
PED000142,CLI09529,SKU012,2025-03-30,5
PED000143,CLI02224,SKU050,2025-01-27,3
PED000144,CLI01641,SKU003,2025-11-15,4
PED000145,CLI06913,SKU033,2025-05-13,3
PED000146,CLI08828,SKU030,2025-08-24,4
PED000147,CLI05695,SKU037,2025-07-31,2
PED000148,CLI07461,SKU009,2025-11-03,4
PED000149,CLI05799,SKU004,2025-05-18,5
PED000150,CLI09777,SKU002,2025-04-16,5
PED000151,CLI00078,SKU032,2025-05-23,5
PED000152,CLI09998,SKU040,2025-08-09,2
PED000153,CLI08263,SKU025,2025-05-17,2
PED000154,CLI00868,SKU023,2025-03-17,4
PED000155,CLI07999,SKU041,2025-03-12,1
PED000156,CLI08270,SKU010,2025-03-06,2
PED000157,CLI08727,SKU014,2025-04-28,2
PED000158,CLI04491,SKU007,2025-12-11,3
PED000159,CLI08462,SKU025,2025-11-08,4
PED000160,CLI04853,SKU012,2025-12-17,3
PED000161,CLI03991,SKU048,2025-07-23,2
PED000162,CLI04149,SKU017,2025-02-04,2
PED000163,CLI05812,SKU045,2025-01-11,1
PED000164,CLI05069,SKU047,2025-09-08,5
PED000165,CLI08912,SKU017,2025-07-14,2
PED000166,CLI01643,SKU013,2025-10-01,2
PED000167,CLI04255,SKU016,2025-09-27,1
PED000168,CLI07566,SKU038,2025-11-16,1
PED000169,CLI08841,SKU042,2025-09-25,2
PED000170,CLI06443,SKU042,2025-10-22,3
PED000171,CLI05050,SKU032,2025-08-26,4
PED000172,CLI03884,SKU017,2025-08-09,2
PED000173,CLI06691,SKU049,2025-02-04,2
PED000174,CLI09037,SKU034,2025-05-24,3
PED000175,CLI05182,SKU001,2025-08-07,2
PED000176,CLI07584,SKU023,2025-03-07,2
PED000177,CLI04182,SKU039,2025-09-07,1
PED000178,CLI07493,SKU010,2025-04-04,1
PED000179,CLI06760,SKU002,2025-02-24,2
PED000180,CLI02776,SKU025,2025-02-27,5
PED000181,CLI03750,SKU035,2025-04-05,3
PED000182,CLI01141,SKU039,2025-12-09,1
PED000183,CLI01310,SKU033,2025-10-30,2
PED000184,CLI06148,SKU022,2025-12-21,2
PED000185,CLI07540,SKU016,2025-01-23,1
PED000186,CLI08041,SKU001,2025-08-02,1
PED000187,CLI07728,SKU020,2025-07-06,5
PED000188,CLI07564,SKU014,2025-11-14,5
PED000189,CLI09997,SKU031,2025-05-21,2
